,VEHQ,BEDROOMQ,STATE,SAVACCTX,EARNCOMP,NEWID,AGE_REF,SWIMPOOL,HLFBATHQ,FINDRETX,INCLASS,SEX2,OCCUCOD1,OCCUCOD2,NO_EARNR,SECESTX,RACE2,REF_RACE,VEHQL,FAM_SIZE,SEX_REF,PERSLT18,POVLEVCY,BATHRMQ,AGE2,TOTEXPCQ,PERSOT64,INC_RANK,NUM_AUTO,TOTEXPPQ,REGION,Entertainment,Misc,Housing,housing,Neccessities,Type_home,Income,Transportation,Medical
1661,3,4,31.0,.,8,2547494,62,,1,0,4,,,,0,.,,1,0,1,1,0,12424,3,.,0.0,0,0.2138,1,12323.95,2.0,695.0,93.0,5386.25,5.0,5938.0,4,19319.0,3150.0,299.7
1662,5,5,47.0,.,2,2547514,34,1.0,0,0,8,1.0,2.0,4.0,2,.,1.0,1,1,5,2,3,28496,3,35,0.0,0,0.6112,1,19526.0501,3.0,306.0,806.0,5695.25,6.0,9190.0,1,103509.8001,14917.0,280.0
1663,5,3,48.0,.,2,2547524,46,1.0,0,0,9,1.0,1.0,6.0,2,.,1.0,1,1,3,2,1,19219,2,45,0.0,0,.,2,20270.1427,3.0,2384.0,0.0,6157.0,5.0,6032.0,1,3712.1427,10523.0,408.0
1664,4,3,39.0,.,6,2547554,45,,1,0,8,1.0,,15.0,2,.,1.0,1,0,4,2,1,25030,1,53,0.0,0,0.5643,1,3649.4499,2.0,408.0,0.0,1137.0,5.0,710.0,1,107139.4499,1800.0,0.0
1665,2,3,17.0,.,5,2547564,68,1.0,1,0,6,1.0,,16.0,1,.,1.0,1,0,2,2,0,14430,2,65,0.0,2,.,0,12258.1,2.0,0.0,300.0,2749.0,5.0,3388.0,1,36428.7,1575.0,7117.4
1666,2,3,41.0,.,8,2547594,61,,0,0,6,,,,0,.,,1,0,1,2,0,12424,2,.,0.0,0,0.4104,1,32433.2,4.0,321.0,325.0,7295.0,5.0,1450.0,1,35520.0,43810.0,2465.7
1667,1,1,,.,8,2547604,47,,0,0,3,1.0,,,0,.,2.0,6,0,3,2,1,19219,1,52,0.0,0,0.1449,1,6247.7,,289.0,117.0,1793.0,6.0,2840.0,5,14470.0,1513.25,699.7
1668,0,2,36.0,.,8,2547614,53,,0,0,4,,,,0,.,,1,0,2,1,0,15989,1,.,0.0,0,0.1916,0,3107.0,1.0,114.0,176.0,1369.0,0.0,2099.0,8,17638.0,0.0,552.0
1669,1,1,,.,1,2547624,47,,0,0,4,,10.0,,1,.,,1,0,1,1,0,12424,1,.,0.0,0,0.194,1,5814.7498,,99.0,0.0,1248.0,0.0,2063.0,8,35950.749800000005,2250.0,1840.0
1670,2,2,21.0,.,1,2547634,74,,2,0,8,,1.0,,1,.,,1,0,1,2,0,11452,2,.,0.0,1,0.586,0,10097.6501,3.0,228.0,162.0,1664.5,5.0,6977.0,1,99342.4501,3261.0,1084.7
1671,1,1,41.0,.,1,2547654,20,,0,0,5,,6.0,,1,.,,1,0,1,1,0,12424,1,.,0.0,0,0.2686,0,6724.2999,4.0,538.0,675.0,2220.0,0.0,2160.0,1,48472.2999,5285.0,410.0
1672,2,3,17.0,.,1,2547684,45,,0,6700,9,2.0,3.0,,1,.,1.0,1,0,5,1,3,28496,6,43,0.0,0,0.9255,2,51869.4425,2.0,4727.0,1400.0,20398.0,5.0,19576.0,1,304329.4425,15809.0,1251.0
1673,2,2,,.,2,2547704,47,,0,0,8,1.0,4.0,14.0,2,.,1.0,1,0,2,2,0,15989,1,49,0.0,0,0.5978,1,7387.5001,2.0,547.0,204.0,1555.0,6.0,3982.0,1,116907.5001,2089.0,844.0
1674,4,3,34.0,.,2,2547714,67,,0,0,9,2.0,10.0,6.0,2,.,1.0,1,0,3,1,0,18680,2,51,0.0,1,0.806,3,41290.95,1.0,1158.0,171.0,6867.0,6.0,8412.0,1,197954.95,55232.0,0.0
1675,1,2,17.0,.,1,2547724,48,,0,0,8,,3.0,,1,.,,2,0,1,2,0,12424,1,.,0.0,0,0.5363,0,23548.2499,2.0,225.0,477.0,2929.0,6.0,1352.0,1,101116.2499,19300.0,1200.0
1676,2,2,25.0,.,4,2547734,43,,1,0,5,,4.0,,2,.,,1,0,3,2,2,19243,1,.,0.0,0,0.3308,1,8002.9999,1.0,1125.0,415.0,1110.0,5.0,4167.0,2,58675.999899999995,2915.0,1125.0
1677,3,3,6.0,.,4,2547774,53,,1,0,9,,4.0,,2,.,,2,0,3,2,0,18680,1,.,0.0,0,0.5624,1,13459.6,4.0,390.0,790.0,4170.0,5.0,7280.0,1,109392.6,9254.0,20.0
1678,1,1,6.0,.,1,2547824,26,,0,0,5,2.0,13.0,,1,.,1.0,1,0,3,1,1,19219,1,23,0.0,0,0.2726,1,8426.25,4.0,200.0,225.0,3754.0,0.0,4026.0,1,42704.25,5232.0,0.0
1679,2,4,1.0,.,4,2547834,48,,0,0,6,1.0,4.0,,2,.,1.0,1,0,3,2,0,18680,2,48,0.0,0,0.4301,1,7718.4499,3.0,277.0,600.0,3944.0,5.0,1820.0,1,76730.7499,2962.0,299.7
1680,2,3,42.0,.,8,2547854,65,1.0,0,0,6,1.0,,,0,.,1.0,1,0,2,2,0,14430,1,68,0.0,2,0.3051,0,5526.4,1.0,210.0,306.0,3051.0,5.0,1286.0,1,26986.0,2830.0,599.4
1681,0,1,22.0,.,1,2547874,57,1.0,0,0,7,,10.0,,1,.,,1,0,1,1,0,12424,1,.,0.0,0,0.4769,0,9299.2501,3.0,0.0,915.0,4450.0,5.0,5027.0,8,86832.2501,3600.0,0.0
1682,1,2,,.,8,2547894,55,,0,0,2,,,,0,.,,1,0,1,1,0,12424,1,.,0.0,0,0.0673,0,3073.5,3.0,48.0,156.0,1031.5,0.0,2600.0,1,8379.0,987.0,0.0
1683,1,1,12.0,.,1,2547914,30,,0,0,8,,9.0,,1,.,,1,0,2,2,1,16460,1,.,0.0,0,0.099,0,8283.4426,3.0,0.0,150.0,2684.0,0.0,2710.0,8,24989.442600000002,4280.0,0.0
1684,1,4,29.0,.,1,2547924,43,,0,0,4,,3.0,,1,.,,1,0,4,2,3,24300,2,.,0.0,0,0.214,1,12175.75,2.0,195.0,285.0,4382.0,5.0,3696.0,1,33667.75,3782.0,3474.0
1685,1,4,,.,2,2547934,46,,0,0,9,1.0,6.0,6.0,2,.,1.0,1,0,3,2,1,19219,2,47,0.0,0,0.9279,0,12080.45,3.0,300.0,840.0,4696.0,5.0,5790.0,9,303045.45,4584.0,0.0
1686,1,3,2.0,.,1,2547944,45,,1,0,8,,10.0,,1,.,,2,0,1,1,0,12424,1,.,0.0,0,0.5892,0,10664.0,4.0,1019.0,90.0,3993.0,0.0,2573.0,4,113071.0,4269.0,0.0
1687,1,4,25.0,.,4,2547954,52,,1,0,9,,3.0,,2,.,,1,0,2,2,0,15989,3,.,0.0,0,0.935,0,13952.4425,1.0,961.0,611.0,3852.0,5.0,2965.0,1,309790.4425,5481.0,1105.0
1688,2,4,6.0,.,4,2547964,26,,0,7200,8,,2.0,,2,.,,4,0,2,1,0,15989,3,.,0.0,0,0.5879,1,17721.5,4.0,574.0,240.0,6571.0,5.0,4258.0,1,102501.5,8634.0,495.0
1689,2,3,6.0,.,7,2547974,74,,0,0,9,,,,2,.,,1,0,5,2,0,29705,2,.,0.0,1,0.9163,1,18321.2501,4.0,300.0,225.0,9137.0,0.0,8260.0,1,269308.2501,4310.0,0.0
1690,1,3,36.0,.,1,2547984,55,1.0,1,0,9,,3.0,,1,.,,1,0,1,1,0,12424,1,.,0.0,0,0.9298,1,17340.4426,1.0,3579.0,150.0,3717.0,0.0,5760.0,1,302654.4426,1530.0,400.0
1691,3,3,42.0,.,3,2547994,53,,1,0,9,2.0,14.0,1.0,3,.,1.0,1,0,3,1,0,18680,1,53,0.0,0,0.6818,2,25679.7501,1.0,836.0,360.0,1998.0,6.0,3909.0,4,144698.7501,18850.75,1836.0
1692,3,3,4.0,.,6,2548034,66,,0,0,8,2.0,,2.0,2,.,1.0,1,0,4,1,1,25030,2,62,0.0,1,0.5863,2,10148.9501,4.0,1424.0,264.0,4930.0,5.0,3811.0,1,72850.2501,3183.0,417.7
1693,3,2,53.0,.,1,2548044,66,,1,0,9,1.0,4.0,,1,.,1.0,1,0,2,2,0,14430,1,68,0.0,2,0.7895,1,20367.0999,4.0,1242.0,375.0,7917.0,6.0,5800.0,1,170030.6999,4262.0,1197.4
1694,0,2,36.0,.,8,2548064,59,,0,0,2,,,,0,.,,1,0,1,2,0,12424,1,.,0.0,0,.,0,6637.0,1.0,168.0,166.0,4894.0,0.0,1909.0,8,0.0,810.0,300.0
1695,1,3,26.0,.,1,2548074,42,,0,0,8,,3.0,,1,.,,1,0,1,2,0,12424,2,.,0.0,0,0.6664,1,9979.5001,2.0,460.0,270.0,2235.0,5.0,4195.0,1,139002.5001,2940.0,724.0
